Symbol,YahooSymbol,Name,Exchange,Series
BLUESTARCO,BLUESTARCO.NS,BLUESTARCO,NSE,EQ
BLUESTONE,BLUESTONE.NS,BLUESTONE,NSE,EQ
BLUSPRING,BLUSPRING.NS,BLUSPRING,NSE,EQ
BMWVENTLTD,BMWVENTLTD.NS,BMWVENTLTD,NSE,EQ
BODALCHEM,BODALCHEM.NS,BODALCHEM,NSE,EQ
BOMDYEING,BOMDYEING.NS,BOMDYEING,NSE,EQ
BOROLTD,BOROLTD.NS,BOROLTD,NSE,EQ
BORORENEW,BORORENEW.NS,BORORENEW,NSE,EQ
BOROSCI,BOROSCI.NS,BOROSCI,NSE,EQ
BOSCH-HCIL,BOSCH-HCIL.NS,BOSCH-HCIL,NSE,EQ
BOSCHLTD,BOSCHLTD.NS,BOSCHLTD,NSE,EQ
BPCL,BPCL.NS,BPCL,NSE,EQ
BPL,BPL.NS,BPL,NSE,EQ
BRIGADE,BRIGADE.NS,BRIGADE,NSE,EQ
BRIGHOTEL,BRIGHOTEL.NS,BRIGHOTEL,NSE,EQ
BRITANNIA,BRITANNIA.NS,BRITANNIA,NSE,EQ
BRNL,BRNL.NS,BRNL,NSE,EQ
BROOKS,BROOKS.NS,BROOKS,NSE,EQ
BSE,BSE.NS,BSE,NSE,EQ
BSE500IETF,BSE500IETF.NS,BSE500IETF,NSE,EQ
BSHSL,BSHSL.NS,BSHSL,NSE,EQ
BSL,BSL.NS,BSL,NSE,EQ
BSLGOLDETF,BSLGOLDETF.NS,BSLGOLDETF,NSE,EQ
BSLNIFTY,BSLNIFTY.NS,BSLNIFTY,NSE,EQ
BSLSENETFG,BSLSENETFG.NS,BSLSENETFG,NSE,EQ
BSOFT,BSOFT.NS,BSOFT,NSE,EQ
BTML,BTML.NS,BTML,NSE,EQ
BUILDPRO,BUILDPRO.NS,BUILDPRO,NSE,EQ
BUTTERFLY,BUTTERFLY.NS,BUTTERFLY,NSE,EQ
BVCL,BVCL.NS,BVCL,NSE,EQ
BYKE,BYKE.NS,BYKE,NSE,EQ
CALSOFT,CALSOFT.NS,CALSOFT,NSE,EQ
CAMLINFINE,CAMLINFINE.NS,CAMLINFINE,NSE,EQ
CAMPUS,CAMPUS.NS,CAMPUS,NSE,EQ
CAMS,CAMS.NS,CAMS,NSE,EQ
CANBK,CANBK.NS,CANBK,NSE,EQ
CANFINHOME,CANFINHOME.NS,CANFINHOME,NSE,EQ
CANHLIFE,CANHLIFE.NS,CANHLIFE,NSE,EQ
CANTABIL,CANTABIL.NS,CANTABIL,NSE,EQ
CAPACITE,CAPACITE.NS,CAPACITE,NSE,EQ
CAPILLARY,CAPILLARY.NS,CAPILLARY,NSE,EQ
CAPITALSFB,CAPITALSFB.NS,CAPITALSFB,NSE,EQ
CAPLIPOINT,CAPLIPOINT.NS,CAPLIPOINT,NSE,EQ
CARBORUNIV,CARBORUNIV.NS,CARBORUNIV,NSE,EQ
CARERATING,CARERATING.NS,CARERATING,NSE,EQ
CARRARO,CARRARO.NS,CARRARO,NSE,EQ
CARTRADE,CARTRADE.NS,CARTRADE,NSE,EQ
